"url", "latitude", "longitude", "WKT", "title", "description", "logo", "active_members", "3month_transactions"
"http://selhautil.unblog.fr","49.050413","2.099804",,"SEL DE LA FORET DE L'HAUTIL",,,,
"","0.000000","0.000000",,"SEL DE LA FORET ET DES ENVIRONS",,,,
"","43.448353","3.751958",,"SEL DE LA GARDIOLE",,,,
"","","",,"SEL DE LA GARRIGUE",,,,
"","48.678939","-1.868587",,"SEL DU PAYS DE CANCALE",,,,
"","43.607077","3.866058",,"SEL DE LA MER",,,,
"","46.364218","-0.109917",,"SEL DE LA MOTHE ST HERAY",,,,
"http://seldespignes.org","43.955825","6.893658",,"SEL DES PIGNES (DE LA MOYENNE VALLEE DU VAR)",,,,
"","","",,"SEL DE LA NAVETTE DE TOURCOING",,,,
"http://seldelaterre11.over-blog.com","43.052465","2.221688",,"SEL DE LA TERRE (11)",,,,
"","48.776930","0.342738",,"SEL DE LA TOUQUES",,,,
"","46.780289","-1.466117",,"SEL DE LA VALLEE DE LA VIE",,,,
"","48.749439","2.480369",,"SEL DU PLATEAU BRIARD",,,,
"","","",,"SEL DE LA VALLEE DU COULAZOU",,,,
"","43.499794","5.926147",,"SEL DE L'ARGENS",,,,
"","43.292180","5.569336",,"SEL DE L'HUVEAUNE",,,,
"http://www.seldeloire.org","47.393212","0.704568",,"SEL DE LOIRE",,,,
"http://laclaiedechanges-sel-villeneuve.e-monsite.com","44.197374","0.842116",,"LA CLAIE D'ECHANGES SEL VILLENEUVOIS ",,,,
"http://seletjeu.org","46.648097","5.225542",,"SEL DE SEILLE",,,,
"http://sel.lyon.rivegauche.free.fr/","45.753583","4.845772",,"SEL LYON RIVE GAUCHE",,,,
"http://sellyonsursaone.wordpress.com/","45.761113","4.826071",,"SEL DE LYON SUR SA&Atilde;”NE",,,,
"http://malaksel.org","48.817275","2.297760",,"MALAK'SEL",,,,
"http://www.seldemars.org/","43.298378","5.381106",,"SEL DE MARS",,,,
"","","",,"SEL DE MAURES ESTEREL",,,,
"","43.613127","3.828112",,"SEL DE MONTPELLIER",,,,
"","48.074390","-1.839567",,"SEL DE MORDELLES",,,,
"http://tauschringmuenchen.de","0.000000","0.000000",,"LETS TAUSCHRING M&Atilde;œNCHEN",,,,
"","48.267733","2.698395",,"SEL DE NEMOURS",,,,
"http://seldenoiseau.org","48.774991","2.543187",,"SEL DE NOISEAU",,,,
"http://seldepaname.org","48.831841","2.295860",,"SEL DE PANAME",,,,
"http://seldeparis.org","48.873549","2.390983",,"SEL DE PARIS",,,,
"http://sel-du-neflier.blogspot.fr","44.573140","2.246619",,"LE NEFLIER SEL DU BASSIN DECAZEVILLOIS",,,,
"","49.272810","4.012185",,"SEL DE REIMS",,,,
"http:// ","49.354883","0.514299",,"SEL DE RISLE",,,,
"","51.165691","10.451526",,"TAUSCHBORSE ROSENHEIM",,,,
"","45.373255","4.811172",,"SEL DE ROUSSILLON",,,,
"http://selrueil92.unblog.fr/","48.887390","2.170271",,"SEL DE RUEIL 92",,,,
"http://sel-de-saone.blogspot.fr/p/accueil.html","46.780764","4.853947",,"SEL DE SA&Atilde;”NE",,,,
"","0.000000","0.000000",,"SEL DE SAULT",,,,
"http://seldeseine.eu","49.405844","1.096025",,"SEL DE SEINE",,,,
"","44.194599","5.942981",,"SEL DES 3 RIVIERES DE SISTERON (04)",,,,
"http://sel-strasbourg.org","48.578915","7.754231",,"SEL DE STRASBOURG",,,,
"http://seldepoitiers.net","46.595350","0.343290",,"LE CHABIS SEL DE POITIERS",,,,
"","0.000000","0.000000",,"SEL DU BASSIN MINIER ET DU LEMBRON",,,,
"http://leseldevienne.org","0.000000","0.000000",,"SEL DE VIENNE",,,,
"http://seldevilaine.jimdo.com","47.650397","-2.086035",,"SEL DE VILAINE (35)",,,,
"","48.792716","2.359279",,"SEL DE VILLEJUIF",,,,
"http://seldevizille.fr","45.081536","5.770329",,"SEL DE VIZILLE",,,,
"","","",,"SEL DECLIC",,,,
"","44.003485","4.925958",,"SEL D'ENTRAIGUES SUR LA SORGUE",,,,
"","48.287677","6.970562",,"DEOSEL",,,,
"","47.877397","-3.554513",,"SEL DES 3 RIVIERES",,,,
"http://www.sel7collines.fr","45.430262","4.424888",,"SEL DES 7 COLLINES DE SAINT&Atilde;‰",,,,
"","43.722615","7.117373",,"SEL DES BAOUS",,,,
