title,url,description,longitude,latitude
"Banc del temps de Santa Cristina d'Aro",http://www.santacristina.cat/arees/punt-digualttat/128-banc-del-temps.html,"Banc del temps de Santa Cristina d'Aro",2.9972986,41.8137777
"Banco Del Tiempo Sevilla",https://www.sevilla.org/bancodeltiempo/es/pagina/%C2%BFqu%C3%A9-es-el-banco-del-tiempo,"Banco Del Tiempo Sevilla",-6.003838,37.37394
"Banco de Tempo BrasÃ­lia",https://www.facebook.com/groups/1844448525870886/?multi_permalinks=1850776878571384&notif_t=like&notif_id=1505945389537417,"Banco de Tempo BrasÃ­lia",-47.897609,-15.791633
"Banco de Tempo Manaus",https://www.facebook.com/manausbancodetempo/?ref=br_rs,"Banco de Tempo Manaus",-60.023455,-3.130055
"Banco de Tempo de Blumenau",https://www.facebook.com/groups/1886529228339446,"Banco de Tempo de Blumenau",-49.0709371,-26.9188277
"Banco de Tempo de FlorianÃ³polis",https://www.facebook.com/btdefloripa/,"Banco de Tempo de FlorianÃ³polis",-48.5338569,-27.668266
"Banco de Tiempo Ampa CP Eugenio LÃ³pez",http://15mpedia.org/wiki/Banco_de_Tiempo_Ampa_CP_Eugenio_L%C3%B3pez,"Banco de Tiempo Ampa CP Eugenio LÃ³pez",2.6491207,39.576281
"Banco de Tiempo Andreberri - La PeÃ±a",https://www.andreberri.com/banco-tiempo-bilbao.php,"Banco de Tiempo Andreberri - La PeÃ±a",-2.9225893,43.2294405
"Banco de Tiempo AsociaciÃ³n AKIBA",http://15mpedia.org/wiki/Banco_de_Tiempo_Asociaci%C3%B3n_AKIBA,"Banco de Tiempo AsociaciÃ³n AKIBA",-3.7093813,37.1918657
"Banco de Tiempo Baja Ribagorza",http://15mpedia.org/wiki/Banco_de_Tiempo_Baja_Ribagorza,"Banco de Tiempo Baja Ribagorza",0.2526163,42.1866219
"Banco de Tiempo Calpe",http://15mpedia.org/wiki/Banco_de_Tiempo_Calpe,"Banco de Tiempo Calpe",0.0456876000001,38.6436469
"Banco de Tiempo Casco Viejo de Pamplona",http://15mpedia.org/wiki/Banco_de_Tiempo_Casco_Viejo_de_Pamplona,"Banco de Tiempo Casco Viejo de Pamplona",-1.6435014,42.8194823
"Banco de Tiempo ChillÃ¡n",https://www.facebook.com/groups/bdtchillan/,"Banco de Tiempo ChillÃ¡n",-72.098391,-36.61028
"Banco de Tiempo Ciudad JardÃ­n",http://bdtmalaga.blogspot.com.es/p/web.html,"Banco de Tiempo Ciudad JardÃ­n",-4.4204944,36.7403102
"Banco de Tiempo Contigo Colombia",http://15mpedia.org/wiki/Banco_de_Tiempo_Contigo_Colombia,"Banco de Tiempo Contigo Colombia",-75.7364788,6.2686594
"Banco de Tiempo El Dam de Ahesat",http://www.eldamdeahesat.blogspot.com/,"Banco de Tiempo El Dam de Ahesat",1.5664556,41.1938386
"Banco de Tiempo Entrevecinos de Valencia",https://www.facebook.com/Banco-del-Tiempo-entrevecinos-de-Valencia-110687273702102/,"Banco de Tiempo Entrevecinos de Valencia",-0.3866238,39.4475104
"Banco de Tiempo Escolares",http://15mpedia.org/wiki/Banco_de_Tiempo_Escolares,"Banco de Tiempo Escolares",-5.8330566,43.3707337
"Banco de Tiempo Guadalajara",https://www.facebook.com/clubdeltruequegdl/,"Banco de Tiempo Guadalajara",-103.3097609,20.6455233
"Banco de Tiempo Inguralde",http://15mpedia.org/wiki/Banco_de_Tiempo_Inguralde,"Banco de Tiempo Inguralde",-2.9893729,43.2998368
"Banco de Tiempo Las Letras",https://btiempolasletras.blogspot.com/,"Banco de Tiempo Las Letras",-3.6957741,40.4105204
"Banco de Tiempo Lima",https://www.facebook.com/BancoDeTiempoLima/,"Banco de Tiempo Lima",-77.4707664,-12.0454798
"Banco de Tiempo MX",https://asifineart.wixsite.com/redcco,"Banco de Tiempo MX",-99.6638689,19.2876367
"Banco de Tiempo Masai",http://15mpedia.org/wiki/Banco_de_Tiempo_Masai,"Banco de Tiempo Masai",-72.2268633,-39.2854012
"Banco de Tiempo MatarÃ³",http://www.bancdeltempsmataro.org/,"Banco de Tiempo MatarÃ³",2.4493299,41.5400816
"banco de tiempo Murcia",http://www.bancodetiempomurcia.es,"banco de tiempo Murcia",-1.139549,37.987233
"Banco de Tiempo MÃ©rida-YucatÃ¡n",http://www.bdtmeridayucatan.org,"Banco de Tiempo MÃ©rida-YucatÃ¡n",-89.63379,20.98925
"Banco de Tiempo Ovida",http://15mpedia.org/wiki/Banco_de_Tiempo_Ovida,"Banco de Tiempo Ovida",-5.8676691,43.3519679
"Banco de Tiempo Pont del Dimoni",,"Banco de Tiempo Pont del Dimoni",2.8072941,41.9776281
"Banco de Tiempo R-ciclo",http://15mpedia.org/wiki/Banco_de_Tiempo_R-ciclo,"Banco de Tiempo R-ciclo",-3.5909801,37.1705616
"Banco de Tiempo Ribagorza Central",http://15mpedia.org/wiki/Banco_de_Tiempo_Ribagorza_Central,"Banco de Tiempo Ribagorza Central",0.3998579,42.4097942
"Banco de Tiempo UPO",https://www.upo.es/upsc/banco-del-tiempo/que-es-un-bdt/,"Banco de Tiempo UPO",-5.9498767,37.3562108
"Banco de Tiempo Universidad de Extremadura",http://15mpedia.org/wiki/Banco_de_Tiempo_Universidad_de_Extremadura,"Banco de Tiempo Universidad de Extremadura",-6.370961,39.471329
"Banco de Tiempo V RegiÃ³n de Chile",https://www.facebook.com/Banco-de-Tiempo-V-Regi%C3%B3n-636628083508134,"Banco de Tiempo V RegiÃ³n de Chile",-71.5373248,-32.9633958
"Banco de Tiempo Xabia",http://15mpedia.org/wiki/Banco_de_Tiempo_Xabia,"Banco de Tiempo Xabia",0.1593309,38.7895181
"Banco de Tiempo de Albacete",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Albacete,"Banco de Tiempo de Albacete",-1.8661602,38.9901709
"Banco de Tiempo de AlcalÃ¡ la Real",https://www.facebook.com/Banco-de-Tiempo-Alcala-la-Real-924934307557026/,"Banco de Tiempo de AlcalÃ¡ la Real",-3.9264281,37.4547388
"Banco de Tiempo de Alhama de Murcia",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Alhama_de_Murcia,"Banco de Tiempo de Alhama de Murcia",-1.4265832,37.8513564
"Banco de Tiempo de Alicante",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Alicante,"Banco de Tiempo de Alicante",-0.511628,38.347014
"Banco de Tiempo de AlmerÃ­a",http://www.mujeralmeria.es/,"Banco de Tiempo de AlmerÃ­a",-2.461659,36.8420358
"Banco de Tiempo de Antequera",https://www.facebook.com/Banco-de-Tiempo-de-Antequera-372460182765960/,"Banco de Tiempo de Antequera",-4.5593676,37.020001
"Banco de Tiempo de BailÃ©n Miraflores",http://bdtbailenmiraflores.blogspot.com.es/,"Banco de Tiempo de BailÃ©n Miraflores",-4.429548,36.7240955
"Banco de Tiempo de Barakaldo",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Barakaldo,"Banco de Tiempo de Barakaldo",-2.9950747,43.2939031
"Banc del Temps de Bon Pastor",http://bonpastor.bdtonline.org/,"Banc del Temps de Bon Pastor",2.2050022,41.4347168
"Banco de Tiempo de Borinken",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Borinken,"Banco de Tiempo de Borinken",-67.4740734,18.1980743
"Banco de Tiempo de Butroi Bizirik en TransiciÃ³n - en Denbora Bankua",http://www.butroientransicion.org/,"Banco de Tiempo de Butroi Bizirik en TransiciÃ³n - en Denbora Bankua",-2.8495817,43.3553721
"Banco de Tiempo de Cambrils",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Cambrils,"Banco de Tiempo de Cambrils",1.0616035,41.0684259
"Banco de Tiempo de Cerdanyola del VallÃ©s",http://cerdanyola.bancdeltemps.org/,"Banco de Tiempo de Cerdanyola del VallÃ©s",2.1374819,41.487779
"Banco de Tiempo de Churriana (Asociacion de vecinos ARCUSVES)",https://es-es.facebook.com/.../BANCO-del-TIEMPO-CHURRIANA/,"Banco de Tiempo de Churriana (Asociacion de vecinos ARCUSVES)",-4.5031482,36.6689104
"Banco de Tiempo de Ciudad Real",https://www.facebook.com/bancodetiempociudadreal,"Banco de Tiempo de Ciudad Real",-3.9304387,38.9774941
"Banco de Tiempo de Coin",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Coin,"Banco de Tiempo de Coin",-4.753782,36.659484
"Banco de Tiempo de Cruz Roja",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Cruz_Roja,"Banco de Tiempo de Cruz Roja",-3.7065765,40.4252051
"Banco de Tiempo de CÃ¡ceres",https://communities.cyclos.org/cacereselviejo,"Banco de Tiempo de CÃ¡ceres",-6.370961,39.471329
"Banco de Tiempo de CÃ³rdoba",https://www.facebook.com/bancodetiempocordoba.asociacion,"Banco de Tiempo de CÃ³rdoba",-4.7824754,37.8885024
"Banco de Tiempo de Estella-Lizarra",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Estella-Lizarra,"Banco de Tiempo de Estella-Lizarra",-2.0324524,42.6720856
"Banco de Tiempo de Ferrol",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Ferrol,"Banco de Tiempo de Ferrol",-8.2360185,43.4825392
"Banco de Tiempo de Garrucha",https://bancotiempogarrucha.jimdo.com/,"Banco de Tiempo de Garrucha",-1.8235305,37.1823264
"Banco de Tiempo de Hondarribia - Trukean",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Hondarribia_-_Trukean,"Banco de Tiempo de Hondarribia - Trukean",-1.7912882,43.3626075
"Banco de Tiempo de Huelva Capital",http://www.bthuelva.es/,"Banco de Tiempo de Huelva Capital",-6.9447224,37.261421
"Banco de Tiempo de Huesca",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Huesca,"Banco de Tiempo de Huesca",-0.3960275,42.1294151
"Banco de Tiempo de Ingenio",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Ingenio,"Banco de Tiempo de Ingenio",-15.4331746,27.9182821
"Banco de Tiempo de Jumilla. 1440 minutos, Â¿alguno para compartir?",http://www.bancodetiempodejumilla.com/,"Banco de Tiempo de Jumilla. 1440 minutos, Â¿alguno para compartir?",-1.3257177,38.4727606
"Banco de Tiempo de Karrantza",https://www.facebook.com/bancodeltiempo.karrantza,"Banco de Tiempo de Karrantza",-3.3590446,43.2223226
"Banco de Tiempo de La Dreta de l'Eixample   Fort Pienc",http://dretaeixamplefortpienc.bancdeltemps.org/,"Banco de Tiempo de La Dreta de l'Eixample   Fort Pienc",2.1838731,41.3956919
"Banc del Temps de La Verneda",http://laverneda.bancdeltemps.org/,"Banc del Temps de La Verneda",2.1967514,41.4227632
"Banco de Tiempo de Lekeitio",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Lekeitio,"Banco de Tiempo de Lekeitio",-2.5038233,43.3635582
"Banco de Tiempo de Llanes",http://bancodetiempodellanes.blogspot.com.es/,"Banco de Tiempo de Llanes",-4.8638653,43.4230708
"Banco de Tiempo de Los Barrios",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Los_Barrios,"Banco de Tiempo de Los Barrios",-5.4926638,36.1832996
"Banco de Tiempo de Lugo",http://bancotempolugo.blogspot.com/,"Banco de Tiempo de Lugo",-7.6385368,43.0118501
"Banco de Tiempo de Macarena",http://www.bdtmaracena.blogspot.com.es/,"Banco de Tiempo de Macarena",-3.6292373,37.2064517
"Banco de Tiempo de Majadahonda",https://www.facebook.com/bancotiempomajadahonda,"Banco de Tiempo de Majadahonda",-3.8808034,40.4731888
"A2 Manos - Banco de Tiempo MalasaÃ±a",http://a2manos.bdtonline.org/,"A2 Manos - Banco de Tiempo MalasaÃ±a",-3.7065046,40.4259298
"Banco de Tiempo de Marbella",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Marbella,"Banco de Tiempo de Marbella",-4.8870764,36.5135952
"Banco de Tiempo de Menorca - Ciutadella",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Menorca_-_Ciutadella,"Banco de Tiempo de Menorca - Ciutadella",3.8414371,40.0021682
"Banco de Tiempo de Menorca - MaÃ³",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Menorca_-_Ma%C3%B3,"Banco de Tiempo de Menorca - MaÃ³",4.2679142,39.8869786
"Banco de Tiempo de Momo",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Momo,"Banco de Tiempo de Momo",-3.7263452,43.3868494
"Banco de Tiempo de Monforte de Lemos",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Monforte_de_Lemos,"Banco de Tiempo de Monforte de Lemos",-7.5158063,42.5190217
"Banco de Tiempo de Murcia",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Murcia,"Banco de Tiempo de Murcia",-1.1252025,38.0255514
"Banco de tiempo de MÃ¡laga",http://bdtmalaga.blogspot.com.es/,"Banco de tiempo de MÃ¡laga",-4.4229689,36.7257378
"Banco de Tiempo de MÃ¡laga (Distrito Ctra. de CÃ¡diz)",http://bdtcarreteradecadiz.blogspot.com.es/,"Banco de Tiempo de MÃ¡laga (Distrito Ctra. de CÃ¡diz)",-4.4424465,36.7017354
"Banco de Tiempo de MÃ¡laga Este - El Palo",http://15mpedia.org/wiki/Banco_de_Tiempo_de_M%C3%A1laga_Este_-_El_Palo,"Banco de Tiempo de MÃ¡laga Este - El Palo",-4.3778139,36.7216922
"Banco de Tiempo de Otxarkoaga - Otxartruke",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Otxarkoaga_-_Otxartruke,"Banco de Tiempo de Otxarkoaga - Otxartruke",-2.9006583,43.2587497
"Banco de Tiempo de Palencia",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Palencia,"Banco de Tiempo de Palencia",-4.532032,42.011121
"Banco de Tiempo de Paracuellos de Jarama",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Paracuellos_de_Jarama,"Banco de Tiempo de Paracuellos de Jarama",-3.86,40.38
"Banco de Tiempo de Pla de Palau",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Pla_de_Palau,"Banco de Tiempo de Pla de Palau",2.8188167,41.9708262
"Banco de Tiempo de Plasencia",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Plasencia,"Banco de Tiempo de Plasencia",-6.087016,40.030235
"Banco de Tiempo de Rivas Vaciamadrid",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Rivas_Vaciamadrid,"Banco de Tiempo de Rivas Vaciamadrid",-3.517985,40.326824
"Banco de Tiempo de Sagrada Familia",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Sagrada_Familia,"Banco de Tiempo de Sagrada Familia",2.179643,41.4039541
"Banco de Tiempo de Salamanca",http://www.bdtsalamanca.org/,"Banco de Tiempo de Salamanca",-5.6675367,40.97442
"Banco de Tiempo de San Javier",http://15mpedia.org/wiki/Banco_de_Tiempo_de_San_Javier,"Banco de Tiempo de San Javier",-0.8050798,37.7991141
"Banc de Tiemps de Sant Cugat centre",http://www.bancdeltemps.santcugatentitats.net,"Banc de Tiemps de Sant Cugat centre",2.0836809,41.4699731
"Banco de Tiempo de Sant Joan DespÃ­",http://sjdespi.net/wca/es/la-ciudad-por-temas/gente-mayor/banco-del-tiempo,"Banco de Tiempo de Sant Joan DespÃ­",2.0684906,41.3681706
"Banco de Tiempo de Sant MartÃ­",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Sant_Mart%C3%AD,"Banco de Tiempo de Sant MartÃ­",2.1883083,41.4046434
"Banco de Tiempo de Santander",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Santander,"Banco de Tiempo de Santander",-3.8059331,43.4675058
"Banco de Tiempo de Santomera",http://bdtsantomera.blogspot.com.es/,"Banco de Tiempo de Santomera",-1.045205,38.062259
"Banc de Temps de Sants",http://www.bancdetempsdesants.org/,"Banc de Temps de Sants",2.1412523,41.3812446
"Banc de Tiemps de SarriÃ -Sant Gervasi",http://sarria.bdtonline.org/,"Banc de Tiemps de SarriÃ -Sant Gervasi",2.1246602,41.3983289
"Banco de Tiempo de Pau i Toni",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Soria,"Banco de Tiempo de Pau i Toni",-1.944132,41.7094169
"Banco de Tiempo de Palau",https://www.facebook.com/bdtpalau/,"Banco de Tiempo de Palau",2.4468543,41.6923244
"Banco de Tiempo de Sta. PerpÃ©tua de Mogoda",http://www.staperpetua.cat/directori-equipaments/associacio-banc-del-temps-de-lav-centre-vila,"Banco de Tiempo de Sta. PerpÃ©tua de Mogoda",2.180781,41.5362149
"Banco de Tiempo de Talavera de la Reina",https://asociacionjosefinasamper.blogspot.com/p/banco-del-tiempo-talavera.html,"Banco de Tiempo de Talavera de la Reina",-4.8304536,39.962884
"Banco de Tiempo de Tenerife Guaydil",https://communities.cyclos.org/tenerife,"Banco de Tiempo de Tenerife Guaydil",-16.3213838,28.4831348
"Banco de Tiempo de Terrassa",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Terrassa,"Banco de Tiempo de Terrassa",2.0000485,41.5574335
"Banco de Tiempo de Torreblanca",http://bancodetiempodetorreblanca.blogspot.com.es/,"Banco de Tiempo de Torreblanca",0.1959207,40.2204433
"Banco de Tiempo de Valladolid",http://bancotiempoaytovalladolid.blogspot.com.es/,"Banco de Tiempo de Valladolid",-4.731808,41.663513
"Banco de Tiempo de Vigo - Valladares",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Vigo_-_Valladares,"Banco de Tiempo de Vigo - Valladares",-8.7426101,42.1832582
"Banco de Tiempo de Villamayor",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Villamayor,"Banco de Tiempo de Villamayor",-5.6937933,41.0016627
"Banco de Tiempo de Villanueva del RÃ­o y Minas",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Villanueva_del_R%C3%ADo_y_Minas,"Banco de Tiempo de Villanueva del RÃ­o y Minas",-5.7122139,37.6554687
"Banco de Tiempo de Villares de la Reina",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Villares_de_la_Reina,"Banco de Tiempo de Villares de la Reina",-5.648107,41.01053
"Banco de Tiempo de Vitoria-Gasteiz",http://www.bancodeltiempovitoriagasteiz.org,"Banco de Tiempo de Vitoria-Gasteiz",-2.676224,42.860352
"Banco de Tiempo de Zaragoza (SecretarÃ­a)",http://www.bancodeltiempozaragoza.org/nueva/index.php?pag=1,"Banco de Tiempo de Zaragoza (SecretarÃ­a)",-0.8770841,41.6508693
"Banco de Tiempo de Zaragoza A.VV. Arrabal",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Zaragoza_A.VV._Arrabal,"Banco de Tiempo de Zaragoza A.VV. Arrabal",-0.8627473,41.692694
"Banco de Tiempo de Zaragoza A.VV. La Cartuja",http://www.bancodeltiempozaragoza.org/nueva/index.php?pag=1,"Banco de Tiempo de Zaragoza A.VV. La Cartuja",-0.824801,41.6055665
"Banco de Tiempo de Zaragoza A.VV. La Jota",http://www.bancodeltiempozaragoza.org/nueva/nuevo.php?clase=out,"Banco de Tiempo de Zaragoza A.VV. La Jota",-0.8621879,41.6596276
"Banco de Tiempo de Zaragoza A.VV. Las Fuentes",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Zaragoza_A.VV._Las_Fuentes,"Banco de Tiempo de Zaragoza A.VV. Las Fuentes",-0.8532168,41.6429234
"Banco de Tiempo de Zaragoza A.VV. Picarral",http://15mpedia.org/wiki/Banco_de_Tiempo_de_Zaragoza_A.VV._Picarral,"Banco de Tiempo de Zaragoza A.VV. Picarral",-0.8759211,41.6713488
"Banco de Tiempo de la AsociaciÃ³n CÃ­rculo de Agua de Barbastro",http://www.bancodetiempocirculodeagua.es/,"Banco de Tiempo de la AsociaciÃ³n CÃ­rculo de Agua de Barbastro",0.1284404,42.0360435
"Banco de Tiempo de la AsociaciÃ³n Vecinal La Poveda",http://15mpedia.org/wiki/Banco_de_Tiempo_de_la_Asociaci%C3%B3n_Vecinal_La_Poveda,"Banco de Tiempo de la AsociaciÃ³n Vecinal La Poveda",-3.480824,40.3133405
"Banco de Tiempo de Ãvila",http://avilajoven.blogspot.com.es/,"Banco de Tiempo de Ãvila",-4.6995589,40.6547782
"Banco de Tiempo del Bajo Deba",http://15mpedia.org/wiki/Banco_de_Tiempo_del_Bajo_Deba,"Banco de Tiempo del Bajo Deba",-2.503011,43.1861263
"Banco de Tiempo del Valle de EgÃ¼es",https://bancodeltiempoegues.wordpress.com/,"Banco de Tiempo del Valle de EgÃ¼es",-1.5880268,42.8108214
"Banco de Tiempo del Valle de EgÃ¼Ã©s",https://bancodeltiempoegues.wordpress.com/tag/sarriguren/,"Banco de Tiempo del Valle de EgÃ¼Ã©s",-1.5880268,42.8108214
"Banco de Tiempo y Trueque de JaÃ©n (BATITRUJA)",https://sites.google.com/site/bdtjaen,"Banco de Tiempo y Trueque de JaÃ©n (BATITRUJA)",-3.7971252,37.7775764
"Banco de Tiempo-Toma la Plaza-Alicante",http://bdta.posibles.org/,"Banco de Tiempo-Toma la Plaza-Alicante",-0.4855737,38.355003
"Banco de tiempo K'at Guatemala",https://15mpedia.org/w/index.php?title=Banco_de_tiempo_K%27at_Guatemala,"Banco de tiempo K'at Guatemala",-90.513342,14.641796
"Banco de tiempo Tapachula",https://transiciontapachula.wordpress.com/,"Banco de tiempo Tapachula",-92.2652887,14.9055
"Banco del Tiempo Altillo en la Ciudad de MÃ©xico",http://15mpedia.org/wiki/Banco_del_Tiempo_Altillo_en_la_Ciudad_de_M%C3%A9xico,"Banco del Tiempo Altillo en la Ciudad de MÃ©xico",-99.1266464,19.2945303
