"title", "url", "latitude", "longitude", "description", "logo", "active_members", "3month_transactions"
"motueka.cosh.net.nz","motueka.cosh.net.nz","173.0009842","-41.1240452","Community Share Motueka - Exchange with Hours or Talents","http://motueka.cosh.net.nz/system/files/2014-03-26_1826.png","6","0"
"nacreetsel17.fr","nacreetsel17.fr","","","Une heure de ta vie vaut une heure de la mienne !","http://nacreetsel17.fr/system/files/nacreetsel.png","4","0"
"nantes-en-sel","nantes-en-sel.communityforge.net","","","Le lien avant le bien","http://nantes-en-sel.communityforge.net/system/files/LogoNes2.jpg","18","0"
"Newsletters.communityforge.net","newsletters.communityforge.net","","","L'espace d&Atilde;&copy;di&Atilde;&copy; aux newsletters CommunityForge","","4","0"
"Niver-SEL","niversel.communityforge.net","","","L'humain au coeur des &Atilde;&copy;changes","http://niversel.communityforge.net/system/files/pers du Mq pge.jpg","10","3"
"ourthsel.be","ourthsel.be","0","0","Le SEL, c'est choisir le lien au lieu des biens","http://ourthsel.be/sites/ourthsel.be/files/sky_seldulac_logo.jpg","15","15"
"Our Time Bank","ourtimebank.communityforge.net","","","Building Community in Our Corner of Los Angeles","http://ourtimebank.communityforge.net/system/files/Logo-All-People-OTB-Orange med web-.jpg","22","99"
"outre-foret.communityforge.net","outre-foret.communityforge.net","","","POUR CHANGER, ECHANGEONS !","http://outre-foret.communityforge.net/system/files/dessin logo SEL 2.jpg","17","12"
"phisel.be","phisel.be","4.5430358","50.1958462","Un monde sans SEL est sans saveur ! ","http://phisel.be/sites/phisel.be/files/sky_seldulac_logo.jpg","27","132"
"Poly SEL","poly.communityforge.net","149.569","17.535021","&Atilde;‰changer et partager en Polyn&Atilde;&copy;sie","http://poly.communityforge.net/sites/poly.communityforge.net/files/unnamed.png","16","0"
"Le Pot d'Sel du Belmont","potdseldubelmont.communityforge.net","","","Un peu de sel dans la vie !","http://potdseldubelmont.communityforge.net/system/files/SEL.jpg","14","24"
"POTES EN SEL","potesensel.communityforge.net","","","Syst&Atilde;&uml;me d'Echange Local Ami&Atilde;&copy;nois","http://potesensel.communityforge.net/system/files/fondha-bleu02.jpg","10","0"
"Radis'SEL de la r&Atilde;&copy;gion de Valmont 76","radiselvalmont.communityforge.net","","","Profitons de nos savoir-faire !","http://radiselvalmont.communityforge.net/system/files/logo_r_0.jpg","31","186"
"Ratintout.org","ratintout.communityforge.net","","","Ratintout - le SEL andr&Atilde;&copy;sien","http://ratintout.communityforge.net/system/files/ratintout_logo.png","18","9"
"The Realm Exchange","realmexchange.co.uk","-2.7960205078125","54.04326379429977","The Flexible Online Trading System for Lancaster and Morecambe backed by Gold ","http://realmexchange.co.uk/sites/realmexchange.co.uk/files/sky_seldulac_logo.jpg","1","0"
"Imagine demain...Rencontres InterSel Belgique du 6 au 9 juillet 2017","rencontre-nationale-belge-2017.communityforge.net","","","20 ans du SEL coup de pouce-Demain le SEL en Transition ?","http://rencontre-nationale-belge-2017.communityforge.net/system/files/logo_isa1.jpg","3","0"
"Imagine demain...Rencontres InterSel Belgique du 6 au 9 juillet 2017","rencontre-nationale-2017.communityforge.net","","","20 ans du SEL coup de pouce-Demain le SEL en Transition ?","http://rencontre-nationale-2017.communityforge.net/system/files/SEL_web.png","4","0"
"R&Atilde;&copy;seau Antonin ","reseau-antonin.fr","","","Coop&Atilde;&copy;rer, partager des biens ou des services, &Atilde;&nbsp; St-Antoine-l'abbaye et alentours","http://reseau-antonin.fr/system/files/sa village vu de salle fete.jpg","8","0"
"sel2mers.communityforge.net","sel2mers.communityforge.net","-4.484288","48.397804","un r&Atilde;&copy;seau d'&Atilde;&copy;change de services,de biens,de savoir-faire SANS ARGENT !","http://sel2mers.communityforge.net/system/files/16472929_1478907942150071_6019757738452807669_n.jpg","2","0"
"sel87-universel.fr","sel87.communityforge.net","","","Syst&Atilde;&uml;me d'Echange Local","","7","3"
"SEL99","sel99.fr","","","C'est CHOUETTE le S.E.L....!","http://sel99.fr/system/files/logo copie.png","19","42"
"SELadons Villeneuve la Garenne","seladonsvlg.communityforge.net","","","Echanges de services, de biens et de savoirs","http://seladonsvlg.communityforge.net/system/files/logo.png","4","6"
"Sel'Alternative","selalternative.communityforge.net","1.501719","48.800542","L'espace des alternatives et de l'entraide","http://selalternative.communityforge.net/system/files/Logo-Alternative.jpg","13","0"
"SEL d'Amay","sel-amay.communityforge.net","","","La convivialit&Atilde;&copy; &Atilde;&nbsp; port&Atilde;&copy;e de main","http://sel-amay.communityforge.net/system/files/Amayentransition.jpg","32","48"
"Le SEL Angevin","selangevin.fr","-0.5311384722426737","47.47192496532473","Pour changer &Atilde;&copy;changeons","http://selangevin.fr/system/files/SelAngevin.png","38","36"
"selarden.communityforge.net","selarden.communityforge.net","","","Privil&Atilde;&copy;gier le lien plut&Atilde;&acute;t que le bien","","21","12"
"Sel'Ardenne","selardenne.be","5.808612","50.406843","Pour changer..., Echangeons !","http://selardenne.be/system/files/Sel-ardennejpg.jpg","17","9"
"SEL Arize L&Atilde;&uml;ze","selarizeleze.communityforge.net","","","syst&Atilde;&uml;me d'&Atilde;&copy;change social","http://selarizeleze.communityforge.net/system/files/partage.jpg","7","27"
"&Atilde;‰changeons Mieux Ensemble","selaulnay.communityforge.net","","","Le SEL d'Aulnay-sous-Bois","http://selaulnay.communityforge.net/system/files/logo2_petit.png","27","33"
" SEL'Avenir","selavenir.communityforge.net","","","Syst&Atilde;&uml;me d'Echange Local de Cesson, S&Atilde;&copy;nart et les villes avoisinantes 77","http://selavenir.communityforge.net/system/files/logo sel'avenir.png","10","6"
"SEL &Atilde;&nbsp; Vie","selavie3f.communityforge.net","","","Le partage au c&Aring;“ur des 3 Fronti&Atilde;&uml;res - www.selavie.fr","http://selavie3f.communityforge.net/system/files/SEL-Ã -Vie-Logo-2.2_0.gif","22","24"
"SEL 'AVIE","selaviechaponost.communityforge.net","","","","http://selaviechaponost.communityforge.net/system/files/avatar _1.png","22","33"
"Sel &Atilde;&nbsp; vie","selavie.communityforge.net","","","Syst&Atilde;&uml;me d&acirc;€™&Atilde;&copy;changes local d&acirc;€™Orl&Atilde;&copy;ans Madeleine","http://selavie.communityforge.net/system/files/sel.jpg","12","15"
"SELavie Gaume","selaviegaume.be","5.500031","0","Syst&Atilde;&uml;me d&acirc;€™Echange Local en Gaume","http://selaviegaume.be/sites/selaviegaume.be/files/sky_seldulac_logo.jpg","14","30"
"Le Sel-Aywaille","sel-aywaille.org","5.675840","50.473180","Plateforme d'Echange: Pour celles et ceux chez qui l'entraide est une volont&Atilde;&copy; ind&Atilde;&copy;niable... ","http://sel-aywaille.org/system/files/Logo-Final.jpg","4","0"
"Sel Basse Meuse","sel-bassemeuse.communityforge.net","","","Le bonheur est dans l'&Atilde;&copy;change !","http://sel-bassemeuse.communityforge.net/system/files/1798154_314948445321434_1724267097860601323_n.jpg","3","0"
"selcalade","selcalade.communityforge.net","","","Des &Atilde;&copy;changes pour se rencontrer, des rencontres pour &Atilde;&copy;changer","http://selcalade.communityforge.net/system/files/Raisins dessin.jpg","26","63"
"sel-chevigny.be","sel-chevigny.be","5.3448617","49.9123264","On a tous quelque chose &Atilde;&nbsp; partager","http://sel-chevigny.be/system/files/Logo-Chevigny.jpg","1","0"
"selclairdelune.communityforge.net","selclairdelune.communityforge.net","","","Mettez du S.E.L dans votre vie ","http://selclairdelune.communityforge.net/system/files/like-the-wind_by_webby85.jpg","36","189"
"Selclunisois","selclunisois.communityforge.net","4.659274","46.434135","Le SEL ne s'use que si l'on ne s'en sert pas ......","http://selclunisois.communityforge.net/sites/selclunisois.communityforge.net/files/sky_seldulac_logo.JPG","72","45"
"Le SEL de Collemiers","selcollemiers.communityforge.net","","","Pour changer, &Atilde;&copy;changeons","http://selcollemiers.communityforge.net/system/files/logo.png","15","12"
"Sel Co-Naissances","selconaissances.communityforge.net","4.835659","45.764043","Faire &Atilde;&copy;merger les talents, les projets, et faciliter leur concr&Atilde;&copy;tisation","http://selconaissances.communityforge.net/system/files/Co-naissances.jpg","2","0"
"SEL coup de pouce","selcoupdepouce.be","0","0","Syst&Atilde;&uml;me d'Echange Local - &Atilde;&copy;changer, c'est changer !","http://selcoupdepouce.be/sites/selcoupdepouce.be/files/logo.jpg","171","567"
"seldebeaurepaire.fr","seldebeaurepaire.communityforge.net","","","Certains, individuellement, iront plus vite, mais Ensemble nous irons plus loin...!","http://seldebeaurepaire.communityforge.net/system/files/ampoule.jpg","30","42"
"Le p&Atilde;&cent;te &Atilde;&nbsp; sel","seldebergues.communityforge.net","","","Echanger... et changer !","","17","27"
"Syst&Atilde;&uml;me d'Echange Local de Bourges","seldebourges.communityforge.net","","","Site de &quot;Pas seul en Sel&quot;","http://seldebourges.communityforge.net/system/files/Logo_Sel_Original.png","6","6"
"SEL de Bourgoin Jallieu","seldebourgoinjallieu.fr","5.27212","45.597108","Mettez un peu de SEL dans votre vie ...","http://seldebourgoinjallieu.fr/sites/seldebourgoinjallieu.fr/files/sky_seldulac_logo.jpg","44","81"
"SEL Brian&Atilde;&sect;onnais","seldebriancon.communityforge.net","","","Syst&Atilde;&uml;me d'Echange Local de Brian&Atilde;&sect;on - Agir Ensemble Ici et Maintenant","http://seldebriancon.communityforge.net/system/files/SELB_Logo_0.jpg","13","0"
"SEL de Carbonne","seldecarbonne.fr","","","","","25","36"
"Sel De Caux","sel-de-caux.fr","0.380774","49.755601","Pour changer, &Atilde;&copy;changeons","http://sel-de-caux.fr/sites/sel-de-caux.fr/files/LOGO-SEL-PUZZLE-04A.png","15","15"
"SEL Cergy-Pontoise","seldecergypontoise.fr","2.083165","49.029829","","http://seldecergypontoise.fr/sites/seldecergypontoise.fr/files/logo_sel_de_cergy_couleur_0.jpg","176","1566"
"Le Ch&Atilde;&cent;teau de SEL","seldechateau-thierry.fr","","","Pour changer, &Atilde;&copy;changeons!","http://seldechateau-thierry.fr/system/files/lgo Chateau de Sel BD2.jpg","35","69"
"SEL de la Vall&Atilde;&copy;e du Guyoult","sel.de.dol.fr","","","En SEL ensemble","http://sel.de.dol.fr/system/files/logo.png","18","0"
"Association SEL'Idaire","seldefrance.communityforge.net","","","Association pour l'information et la promotion des SEL francophones","http://seldefrance.communityforge.net/system/files/logo_selidaire_v5.jpg","137","21"
"SEL de Grenoble","seldegrenoble.communityforge.net","","","L'&Atilde;&copy;change solidaire sans argent pour faire prosp&Atilde;&copy;rer les liens","http://seldegrenoble.communityforge.net/system/files/images_0.jpg","39","45"
"Sel de la Confluence","seldelaconfluence.communityforge.net","","","Favoriser le lien plut&Atilde;&acute;t que le bien ","http://seldelaconfluence.communityforge.net/system/files/barre_a_roue.png","8","0"
"SEL de La C&Atilde;&acute;te Saint-Andr&Atilde;&copy; ","seldelacotesaintandre.communityforge.net","","","Pour changer, &Atilde;&copy;changeons !","http://seldelacotesaintandre.communityforge.net/system/files/griottes_4.png","6","9"
"SEL de la Gondoire","seldelagondoire.org","","","Venez mettre votre grain de sel ... &Atilde;&copy;changez!","http://seldelagondoire.org/system/files/Logo_0.jpg","18","0"
"Syst&Atilde;&uml;me d'Echange Local de la Moli&Atilde;&uml;re","seldelamoliere.ch","6.822778","","Pour &Atilde;&copy;changer dans la Broye","http://seldelamoliere.ch/sites/seldelamoliere.ch/files/SEL sans texte.gif","22","21"
"Sel de l'armagnac","seldelarmagnac.communityforge.net","","","Mettez ici votre slogan","","1","0"
"Sel R&Atilde;&copy;gion Del&Atilde;&copy;mont","sel-delemont.ch","","","Donner, recevoir, se rencontrer, partager !","http://sel-delemont.ch/system/files/logo_sel_region_delemont_0.jpg","33","9"
"Sel de Loire","seldeloire.org","","","Syst&Atilde;&uml;me d'Echange Local","http://seldeloire.org/system/files/bandeau_loire_0.jpg","45","135"
"Sel de Montlu&Atilde;&sect;on","seldemontlucon.communityforge.net","","","La Pompe Bourbonnaise ","http://seldemontlucon.communityforge.net/system/files/logo forum test_0.png","8","0"
"seldenacre.communityforge.net","seldenacre.communityforge.net","","","Sel Coeur de Nacre, r&Atilde;&copy;seau d'entraide &Atilde;&nbsp; Luc sur mer","http://seldenacre.communityforge.net/system/files/logo.jpg","18","9"
"SEL de Paname","seldepaname.communityforge.net","","","Sans la g&Atilde;&copy;n&Atilde;&copy;rosit&Atilde;&copy; d'&Atilde;&copy;changer, il n'est point de lien de valeur","http://seldepaname.communityforge.net/system/files/logoSELdePaname_ombre2 b.jpg","33","21"
"SEL.Reims","seldereims.asso.st","","","Pour changer... &Atilde;&copy;changeons sans argent!","http://seldereims.asso.st/system/files/illustrationBase35p.jpg","72","396"
"Sel de Risle","selderisle.fr","","","Votre slogan ici","http://selderisle.fr/sites/selderisle.fr/files/sel3_1_0.jpg","25","66"
"SEL de Rodez","selderodez.communityforge.net","2.575986","44.349389","Syst&Atilde;&uml;me d'Echange Local du ruth&Atilde;&copy;nois","http://selderodez.communityforge.net/system/files/banniere sel de rodez.png","8","3"
"seldesbastides.communityforge.net","seldesbastides.communityforge.net","","","Pour changer, &Atilde;‰changeons !","http://seldesbastides.communityforge.net/system/files/LOGO SEL 3.jpg","10","48"
"SEL des bio th&Atilde;&copy;rapeutes","seldesbiotherapeutes.communityforge.net","","","Echanges solidaires de pratiques entre th&Atilde;&copy;rapeutes","","10","30"
"SEL des Ecluses","seldesecluses.communityforge.net","","","La rencontre de l&acirc;€™autre vaut tout l&acirc;€™or du monde","http://seldesecluses.communityforge.net/system/files/LOGO_SEL.jpg","59","108"
"SEL de Seine","seldeseine.eu","1.10","49.44","Pour changer, &Atilde;&copy;changeons ! Car le lien est plus important que le bien.","http://seldeseine.eu/sites/seldeseine.eu/files/LogoSeldeSeine5_0.png","55","87"
"seldesete-thau.com","seldesete-thau.communityforge.net","","","Soyons s&Atilde;&copy;lidaires &Atilde;&nbsp; S&Atilde;&uml;te et dans le Bassin de Thau","http://seldesete-thau.communityforge.net/system/files/logo.jpg","8","9"
"seldesevre.org","seldesevre.org","","","&quot;Il faut remplacer l'exploit solitaire par une r&Atilde;&copy;ussite solidaire&quot; Albert Jacquard","http://seldesevre.org/system/files/CSCJaunaisBlordiere_quadri.jpg","6","6"
"SEL des Lauzes","seldeslauzes.communityforge.net","","","Osez la Lauze","http://seldeslauzes.communityforge.net/system/files/Lauzes_0.jpg","54","57"
"sel des rives","seldesrives.ch","","","Pour changer &Atilde;&copy;changeons","http://seldesrives.ch/sites/seldesrives.ch/files/sky_seldulac_logo.jpg","28","9"
"SEL des Sapins","seldessapins.communityforge.net","","","Mettez ici votre slogan","http://seldessapins.communityforge.net/system/files/logo_seldessapins.png","8","0"
"S.E.L. de Terre","seldeterre.communityforge.net","","","Champignon virtuel pour &Atilde;&copy;changer des produits de nos jardins de nos vergers. La terre est g&Atilde;&copy;n&Atilde;&copy;reuse, pourquoi pas nous, vous...?","http://seldeterre.communityforge.net/system/files/sel de Terre logo 4.jpg","16","0"
"Seldethiais94","seldethiais94.communityforge.net","","","Convivialit&Atilde;&copy; et Solidarit&Atilde;&copy;!","http://seldethiais94.communityforge.net/system/files/logo SEL de Thiais_0.jpg","18","129"
"seldethomery.communityforge.net","seldethomery.communityforge.net","","","ici tout me rit","","5","6"
"SEL de Versailles","seldeversailles.communityforge.net","","","Pour changer &Atilde;&copy;changeons car le lien est plus important que le bien","http://seldeversailles.communityforge.net/system/files/logoSEL_0.jpg","35","48"
"Sel de Villefontaine et ses voisins","seldevillefontaine.fr","","","Pour changer &quot;&Atilde;&copy;changeons&quot;","http://seldevillefontaine.fr/sites/seldevillefontaine.fr/files/sky_seldulac_logo.jpeg","59","378"
"Sel de Villejuif","seldevillejuif.communityforge.net","","","Le SEL qui p&Atilde;&copy;tille","http://seldevillejuif.communityforge.net/system/files/Svilejuif_0.jpg","27","51"
"Sel d'Ici et d'Ailleurs","seldicietdailleurs.communityforge.net","0.804935","44.397248","Mettez ici votre slogan","","2","0"
"SEL d'Ille","seldille.org","0","0","","http://seldille.org/system/files/logo-val-dille.gif","1","0"
"SEL DU DROUAIS","seldrouais.org","","","Je rends service, tu rends service on re&Atilde;&sect;oit tous ...","http://seldrouais.org/system/files/logosel.jpg","11","12"
"SEL DU CIRON","selduciron.communityforge.net","","","Echangeons pour changer avec le SEL du Sud Gironde","http://selduciron.communityforge.net/system/files/logo selduciron.jpg","16","9"
"SEL du Citron","selducitron.communityforge.net","7.49267578125","43.77109381775651","Echangeons des Zestes de Citron - et de convivialit&Atilde;&copy; !","http://selducitron.communityforge.net/sites/selducitron.communityforge.net/files/sky_seldulac_logo.gif","52","36"
"seldudon.communityforge.net","seldudon.communityforge.net","","","Mettez ici votre slogan","","4","0"
"SEL d'Annemasse - Genevois","seldugenevois.fr","","","Pour changer, &Atilde;&copy;changeons !","http://seldugenevois.fr/sites/seldugenevois.fr/files/sky_seldulac_logo.jpg","46","150"
"Sel du Gobanais","seldugobanais.communityforge.net","","","Echangeons Solidaire !","","4","0"
"SEL","selduhautgiffre.communityforge.net","","","Le lien est plus important que le bien","http://selduhautgiffre.communityforge.net/system/files/logo_1.jpg","11","15"
"SEL du Havre","selduhavre.communityforge.net","","","Echanger sans argent, &Atilde;&sect;a change ! ","http://selduhavre.communityforge.net/system/files/logo-selduhavre.jpg","24","42"
"SELduLac","seldulac.ch","6.142161","46.1983922","Echangeons, pour changer !","http://seldulac.ch/sites/seldulac.ch/files/sky_seldulac_logo.gif","38","96"
"Sel","seldumaconnais.communityforge.net","","","","http://seldumaconnais.communityforge.net/system/files/sel-couleurs-a-imprimer-1.jpg","67","96"
"SEL du Maine","seldumaine.fr","0.1922334","48.000","Un Syst&Atilde;&uml;me d'Echanges Local sarthois (72)","http://seldumaine.fr/sites/seldumaine.fr/files/logo SEL site.gif","71","195"
"seldumantois.communityforge.net","seldumantois.communityforge.net","","","Bienvenue dans le SEL du Mantois !","http://seldumantois.communityforge.net/system/files/LogoSelduMantois.jpg","17","0"
"Syst&Atilde;&uml;me d'Echanges Local","seldupaysdegex.fr","","","","http://seldupaysdegex.fr/system/files/logo colibris_0.png","13","3"
"S E L du Sundgau","seldusundgau.communityforge.net","","","Mettez un peu de SEL dans votre vie !","http://seldusundgau.communityforge.net/system/files/Logo SEL du Sundgau.jpg","9","0"
"Sel en Bugey","selenbugey.communityforge.net","","","&quot;Le lien est plus important que le bien&quot;","http://selenbugey.communityforge.net/system/files/SEL-EN-BUGEY_logo couleur.jpg","20","24"
"Sel de Jou&Atilde;&copy; les Tours","selenjoue.org","","","Systeme d'Echange Local","http://selenjoue.org/system/files/logo.jpg","41","159"
"SEL Ensemble Avignon et Environs","selensemble.org","","","Le syst&Atilde;&uml;me d'&Atilde;&copy;change local d'Avignon et environs","http://selensemble.org/system/files/sel-ensemble_0.png","51","114"
"selentraide.communityforge.net","selentraide.communityforge.net","","","&quot;La rencontre de l'autre vaut tout l'or du monde&quot;","http://selentraide.communityforge.net/system/files/Logo Sel'entraide.jpg","23","0"
"Sel Entr'Amis","selentramis.communityforge.net","","","","http://selentramis.communityforge.net/system/files/Logo_maison_version_gras_v01.png","4","15"
"selenvigne.fr","selenvigne.fr","","","Pour changer, &Atilde;&copy;changeons","http://selenvigne.fr/system/files/Logo sel.jpg","11","6"
"SELeri, le SEL de Rixensart, La Hulpe et environs","seleri.be","4.52156","50.712636","Pour changer, &Atilde;&copy;changeons !","http://seleri.be/sites/seleri.be/files/sky_seldulac_logo.jpg","113","276"
"SELesneux","selesneux.be","5.568371999999954","0","Les feuilles font l'arbre","http://selesneux.be/sites/selesneux.be/files/sky_seldulac_logo.jpg","70","105"
"Sel Est","selest-bassin-pompey.communityforge.net","","","Syst&Atilde;&uml;me local d'&Atilde;&copy;changes et d'entraide du bassin de Pompey","http://selest-bassin-pompey.communityforge.net/system/files/logo_selest_temporaire.jpg","16","9"
"SEL-EST DE MONTREUIL","sel-est-de-montreuil.org","","","Pour changer, &Atilde;&copy;changeons","http://sel-est-de-montreuil.org/sites/sel-est-de-montreuil.org/files/sky_seldulac_logo.jpg","26","72"
"Sel'Ethik","selethik.communityforge.net","","","Syst&Atilde;&uml;me d'Echange Local des quartiers sud de Marseille","http://selethik.communityforge.net/system/files/selethik_logo.png","19","135"
"selfleurdeseine.communityforge.net","selfleurdeseine.communityforge.net","","","Le SEL, j'aime!","http://selfleurdeseine.communityforge.net/system/files/Nouveau logo 3 fleurs CK.jpg","37","105"
"SEL Franches-Montagnes","sel-fm.ch","6.95645","47.22417","... allez aux pives...","http://sel-fm.ch/system/files/sel2.jpg","52","42"
