title,latitude,longitude,description,url
25 SEL de Besancon,47.27111,6.02824,25000 Besançon,https://besansel.fr/
26 SEL en Sauze,44.60324,4.81967,26740 Sauzet,http://www.selensauze.fr 
26 Sel des deux rives,45.04894,5.01463,26100 Romans-sur-Isère,www.sel-des-deux-rives.org
84 Seleil8426,44.3566,4.92783,84820 Visan chemin de l'Houle,http://seleil.communityforge.net/
26 SEL de Crest,44.72827,5.02407,26400 Crest,http://leseldecrest.communityforge.net
26 MonbeauSEL,44.86095,4.94136,26760 Beaumont-les-Valence,http://www.monbeausel.org
26 Vivantsel,44.92272,4.90871,26000 Valence,http://www.vivantsel.org/
27 Sel de Risle,49.35488,0.51429,27500 Pont Audemer,http://risle.communityforge.net/
27  Sel'rise,49.08239,1.47655,27200 Vernon,http://sel-vernon.fr/
27 SEL des KOKLIKOTS,49.10112,1.58891,27620 Gasny,http://www.gasny.fr/fr/association/1/30634/les-coquelicots-vexin-normand
28 Chartres en Sel,48.44385,1.48901,28000 Chartres,https://chartresensel.seliweb.net/public/fr/index.php
SEL'Alternative,48.80054,1.50171,,http://www.sel-alternative.org/
28 Sel de Senonches,48.55966,1.03801,28250 Senonches,http://selsenonches.wixsite.com/28250
28 Grain de Sel pays houdanais et drouais,48.80054,1.50171,28410 Bû,http://grain2sel.net
29 SEL Fleur de blé noir,47.99754,-4.09789,29000 Quimper,http://fleurdeblenoir.communityforge.net
29 Sel Elorn Landerneau,48.45082,-4.24843,29800 Landerneau,
29 SEL du pays fouesnantais,47.93688,-4.02147,29170 SAINT EVARZEC,http://seldupaysfouesnantais29.communityforge.net
29 7ème SEL de l'Odet,47.88678,-4.15526,29120 Combrit,
29 Plouga'SEL,48.37405,-4.3691,29470 Plougastel daoulas,http://plougasel.infini.fr
29 Sel des 3 rivières,47.87258,-3.54754,29300 QUIMPERLE,https://www.selquimperle.fr
29 Bigoud'SEL,47.90287,-4.28263,29720 Plonéour-Lanvern,
"29 Sel de Concarneau ""les échangeurs de menhirs""",47.90469,-3.91612,29900 Concarneau,http://seldeconcarneau.jimdo.com/
30 Le Grenier à Sel,43.78344,4.08973,30250 Sommières,https://legrenierasel.seliweb.net/public/fr/index.php
30 SEL de l'Olive,44.02267,3.99792,30140 TORNAC,http://cevennes-transition.fr/sel/
30 Arbre cévénol,44.2601,4.19641,30500 St Ambroix,
30 Nimesel,43.87913,4.37707,30000 Nimes,www.nimesel.fr
31 Sel de Carbonne,43.29481,1.22576,31390 Carbonne,http://seldecarbonne.fr/
31 Les fleurs de pastel,43.35262,1.4775,31190 Auterive,http://www.lesfleursdepastel.net
32 Sel d'Auch,43.60986,0.59167,32550 Pavie,
32 SEL DE MONBLANC EN SAVÈS,43.46363,0.99104,32130 Monblanc,http://sel-monblanc-saves.communityforge.net
32 TourneSEL 32,43.61383,1.08174,32600 L'Isle Jourdain,https://tournesel32.fr/
33 Club TalenSEL,44.80261,-0.58805,33400 Talence,http://www.talensel.org
33 Sel de Leognan,44.60536,-0.54469,33650 CABANAC et VILLAGRAINS,https://seldeleognan.wordpress.com
33 SEL Saint Médard en Jalles,44.89529,-0.7181,33160 Saint-Médard-en-Jalles,http://sel-saint-medard-en-jalles.communityforge.net
33 Sel de la Saye,45.02049,-0.32153,33240 Perissac,http://sel-de-la-saye.jimdo.com
33 SEL Gabare,44.8019,-0.64885,33600 Pessac,http://www.selgabare.fr
33 SEL Rive Douce,44.91013,-0.52105,33530 BASSENS,
33 BègleSEL,44.8024,-0.55414,33130 Bègles,http://beglesel.communityforge.net/
33 SEL du Ciron,44.47955,-0.36615,33730 NOAILLAN,http://selduciron.communityforge.net/
33 SEL ESCALE,44.83913,-0.68679,33700 Merignac,www.sel-escale.fr
33 Sel de la dune,44.56281,-1.19291,33260 La Teste-de-Buch,www.seldeladune.org
33 Fi-SEL,44.6855,-0.36528,33550 Paillet,http://fi-sel.communityforge.net/
33 Grains de sable de Libourne,44.6855,-0.36528,33500 Libourne,https://selibourne.jimdo.com/
33 La Lorrieterie,44.91299,-0.24398,33310 LORMONT,http://lorrieterie.communityforge.net
33 Sel des Jalles,44.91008,-0.63524,33290 Blanquefort,www.leseldesjalles.org
33 SEL de Haute Gironde,45.11203,-0.44406,33920 Civrac de Blaye,http://sel-haute-gironde.jimdo.com
33 SEL de Mios,44.60538,-0.93962,33380 Mios,
34 SEL du Bérange,43.71281,4.00398,34160 SUSSARGUES,https://selduberange.wordpress.com/
34 SELriz,43.60472,3.90117,34000 MONTPELLIER,https://sites.google.com/site/selrizmontpellier/
34 Sel des Hauts Cantons,43.69474,3.16451,34260 Le Bousquet d'Orb,http://seldeshautscantons.free.fr
34 SEL de Juvignac,43.61129,3.81235,34990 Juvignac,http://seldejuvignac.communityforge.net/
34 SEL de Sète et du bassin de Thau,43.40787,3.70082,34200 Sète,http://seldesete-thau.communityforge.net/
34 Le Sel d’Abord,43.38618,2.83278,34360 St Jean de Minervois,
35 Sel de Vilaine,47.65074,-2.08393,35600 Redon,https://seldevilaine.jimdo.com
35 SEL de la vallée du Guyoult,48.54969,-1.75396,35120 Dol de Bretagne,http://sel.de.dol.communityforge.net
35 Liffr'Echange,48.21404,-1.50581,35340 Liffré,http://selliffrechange.jimdo.com/
35 EstunSEL,48.41,-1.75249,35270 Combourg,http://www.estunsel.fr
35 Sel de Mordelles,48.07291,-1.84694,35310 MORDELLES,http://seldemordelles.communityforge.net
35 SEL d'Ille,48.27307,-1.65867,35250 St Médard sur ille,www.seldille.org
35 JacquoSEL,48.07246,-1.72102,35136 SAINT JACQUES DE LA LANDE,www.inter-sel.org
35 SEL du Pays de Cancale,48.67893,-1.86858,35260 Cancale,
35 Sel de Noyal,48.11337,-1.52267,35530 Noyal s/Vilaine,http://www.seldenoyal.fr
36 Unis vers SEL en pays de Bazelle,47.25447,1.65429,36210 Chabris,
37 SEL Touraine,47.39201,0.69384,37000 Tours 60 RUE BERNARD PALISSY,http://www.sel-touraine.fr/ 
37 Sel Enjoué,47.33938,0.66302,37300 Joué les Tours,https://selenjoue.org/
37 Sel Racan Choisille,47.5919,0.90921,37110 Chateau-Renault,http://www.selracan37.fr
37 Sel de Loire,47.39319,0.70451,37000 Tours 1 rue d'Estienne d'Orves,http://seldeloire.org
38 SEL de Beaurepaire,45.33866,5.05197,38270 Beaurepaire,http://seldebeaurepaire.fr
38 Sel du Voironnais,45.29765,5.48271,38210 Tullins,
38 Sel de Vizille,45.07731,5.77241,38220 Vizille,
38 Sel de Villefontaine et ses voisins,45.61353,5.15009,38090 Villefontaine,http://fontaine.communityforge.net/
38 SEL de la Côte Saint André,45.39379,5.26002,38260 La Côte Saint André,http://www.seldelacotesaintandre.fr/
38 Sel de Bourgoin-Jallieu,45.5971,5.27211,38300 Bourgoin-Jallieu,http://Jallieu.communityforge.net
38 Sel au fil de Lambre,45.35531,4.90711,38150 Sonnay,
38 SEL de Fontaine en Isere,45.19155,5.67812,38600 Fontaine,https://seldefontaine.eu/
38 SEL des Lauzes,45.75702,5.29173,38460 Annoisin-Chatelans ,http://seldeslauzes.communityforge.net/ 
38 Sel de Grenoble,45.18942,5.71654,38000 Grenoble,http://www.seldegrenoble.fr
38 Sel de Roussillon,45.37325,4.81117,38150 Roussillon,
38 le Sel de Vienne,45.52558,4.87433,38200 Vienne,https://seldevienne.fr/
39 SEL Edonien,46.67589,5.56029,39000 Lons-le-Saunier,http://seledonien.seliweb.net
39 SEL de la Petite Montagne,46.45034,5.42319,39160 Veria,http://seldelapm.seliweb.net/public/fr/index.php
40 Clair de lune,43.5465,-1.46763,40220 Tarnos,http://selclairdelune.communityforge.net/
40 SEL du GABARDAN,43.98498,0.01111,40310 Gabarret,http://seldugabardan.communityforge.net/
41 Loire et SEL,47.58609,1.33594,41000 Blois,http://loireetselblois.communityforge.net/
41 Sel en Vendomois,47.75601,1.19309,41100 SELOMMES,http://selenvendomois.jimdo.com/
41 le SEL de Mer,47.66785,1.52373,41500 Muides sur Loire,www.le-sel-de-mer.fr
42 SEL de L'Ondaine,45.40582,4.26871,42240 Unieux,http://selondaine.communityforge.net
42 Grains de sel du Roannais,46.02787,4.08778,42120 Le Coteau,www.selduroannais.com
42 SEL des Monts du Lyonnais,45.63715,4.39039,42140 CHAZELLES-Sur-LYON,http://montsdulyonnais.communityforge.net
42 UniVertSEL,45.43723,4.38044,"42000 Saint-Etienne 15, avenue Augustin Dupré",
42 SELOZANGE,45.55451,4.66899,42800 TARTARAS,http://selozange.communityforge.net/
42 SEL du Dorlay,45.42732,4.58581,42740 Doizieux,
42 Sel des 7 collines de Sainté,45.41926,4.42102,42100 Saint Etienne 96 Boulevard de Fraissinette,http://www.sel7collines.fr/
42 Sel de Saint Chamond,45.46531,4.49357,42400 St Chamond,http://sel-saintchamond.communityforge.net/home
42 SEL du Forez,45.60745,4.06333,42600 Montbrison,http://forez.communityforge.net/home
43 Sel Echo du Velay,45.0724,4.04741,43260 Saint-Hostien,http://www.echoduvelay.fr
85 Phaselia,46.99964,-1.51731,85660 ST PHILBERT DE BOUAINE,https://phaselia8544.webnode.fr/
