title,latitude,longitude,description,url
84 Sel en Durance,43.70439,5.6561,84120 MIRABEAU,http://www.selendurance.fr
85 SELid'Her,47.00666,-2.27082,85330 Noirmoutier,www.selidher85.1s.fr
86 Le Chabis,46.58022,0.34037,86000 POITIERS,http://seldepoitiers.communityforge.net
86 SEL de Chatellerault,46.81648,0.54814,86100 CHATELLERAULT,
89 Sel du Sénonais,48.20065,3.28268,89100 Sens,http://senonais.communityforge.net
89 Sel du bocage du gatinais,48.20485,3.01655,89690 Cheroy,
90 Grain de sel 90,47.64376,6.8437,90000 Belfort,http://seldebelfort.blogspot.fr/
91 SEL Val d'Orge,48.63084,2.30919,91240 Saint Michel sur Orge,http://selvaldorge.communityforge.net
91 Sel du pays de Limours,48.71463,2.12633,91190 Gif sur Yvette,https://sel.lespetitsboutons.fr/public/fr/index.php
91 Sel en Seine,48.7094,2.3939,91200 Athis Mons,http://sel.athis.free.fr/
92 Suresnes-en-SEL,48.87128,2.21934,92150 Suresnes,http://suresnesensel.communityforge.net
92 Nan'Terre de Sel,48.89418,2.20711,92000 Nanterre,http://cean.nanterreasso.org/systeme-dechanges-local-sel/
92 SEL d'Asnières sur seine,48.91415,2.28536,92600 ASNIERES,https://www.facebook.com/SEL-dAsnieres-sur-Seine-1116108365082767/
92 SELadons,48.93469,2.32559,92390 Villeneuve la Garenne,http://seladonsvlg.communityforge.net/
93 EPINAY-SUR-SEL,48.95573,2.31473,93800 EPINAY-sur-Seine,
93 Dionys'SEL,48.93155,2.35632,93200 St Denis,www.dionyssel.org
93 Sel Est de Montreuil,48.86381,2.44846,93100 Montreuil,http://sel-est-de-montreuil.org/
94 SEL intercommunal de Noiseau,48.77468,2.55318,94880 Noiseau,http://seldenoiseau.org
94 Sel du Val de Fontenay,48.84666,2.4762,94120 Fontenay sous bois 16 rue du Reverend Père Aubry,http://www.selvf.fr
94 SEL de Villejuif,48.79058,2.35586,94800 Villejuif,http://seldevillejuif.communityforge.net
95 SEL de Cergy Pontoise,49.03201,2.08069,95000 Cergy-pontoise,http://seldecergypontoise.fr/
97 SEL Martinique CENTRE,14.67209,-61.09136,97234 FORT DE FRANCE,http://selmartiniquecentr.wixsite.com/monsite
37 SEL entr'amis,47.38351,0.6486,37520 La Riche,http://selentramis.communityforge.net/
14 FALAI'SEL,48.89354,-0.20195,14700 FALAiSE,http://www.falaisel.org
94 SELavie Fresnes,48.75255,2.31294,94260 FRESNES MJC - 2 avenue du Parc des Sports ,https://selaviefresnes.communityforge.net/
31 SEL VIOLETTE,43.66005,1.43734,31200 TOULOUSE 14 rue André Clarous,http://selviolette.org 
69 SEL CROIX ROUSSE ,45.79645,4.85113,69300 CALUIRE ET CUIRE,www.sel-croixrousse.org
76 SEL de SAINT-SAENS,49.67333,1.28363,76680 SAINT-SAENS,
79 SELARGENTONNAY,46.98483,-0.44458,79150 Argentonnay,http://www.marionnette.info/sel.html
50 Essen'sel,48.68684,-1.36166,50300 Avranches,http://essensel.communityforge.net
56 SEL Férélais,47.48234,-2.34281,56130 FEREL,www.leselferelais.com
75 SEL de Paname,48.83217,2.29541,75015 PARIS rue de la Saida,
75 Arc en Sel Paris,48.86273,2.35429,75003 PARIS rue Beaubourg,
44 SEL Orvault les Rousinettes,47.27434,-1.6194,44700 Orvault,http://selorvaultrousinettes.communityforge.net
43 Pierre de SEL,45.15135,4.03928,43200 St Julien du Pinet,
35 SEL DU PAYS DE FOUGERES,48.34772,-1.19576,35300 Fougeres,https://www.seldupaysdefougeres.ovh/
29 SEL2mers,48.3978,-4.48428,29200 Brest 1 rue Alexandre Ribot,http://sel2mers.communityforge.net/
29 SEL du Leon et des Abers,48.57208,-4.32229,29260 LESNEVEN,
29 Breiz-I-Sel,48.3861,-4.52389,29200 Brest 1 rue des Frères Goncourt ,
42 SEL Vals d'Aix et d'Isable,45.86318,3.95197,42260 GRESOLLES,http://www.selvai.seliweb.net
03 SEL des Gorges de la Sioule,46.1474,3.09182,03450 Vicq,http://selsiouleechange03.wixsite.com/selsioule03
69 SEL des sapins,45.97265,4.33308,69550 Amplepuis,
69 Mine de SEL,45.78864,4.61226,69210 St Pierre la Palud,http://minedesel.communityforge.net
46 Sel des Cabanes,44.3395,1.30764,46800 Lascabanes,
49 SEL Avenir,47.48568,-0.51923,49000 ANGERS Square du petit chaumineau ,http://selavenir49.communityforge.net
80 SEL du pays du coquelicot,50.08391,2.65638,80300 BEAUMONT-HAMEL,
26 RadiSEL,44.75103,5.37053,26150 Die,http://www.radisel.fr
05 Sel à la bonne heure,44.47804,5.78307,05400 CHABESTAN,
23 Carrousel,46.32791,1.90404,23220 BONNAT,https://carrousel23.wordpress.com
35 AtoutSEL,48.11734,-1.70751,35000 RENNES,www.inter-sel.org
59 Sel du Hainaut,50.35399,3.44764,59195 Herin,
71 SEL de Saône,46.78076,4.85394,71100 Chalon sur Saone,
81 SEL les Raisins,43.82118,1.72454,81800 RABASTENS,https://www.facebook.com/people/Sel-Les-Raisins-Rabastens/100015658606728
14 SEL Coeur de Nacre,49.30641,-0.35657,14530 LUC SUR MER,www.seldenacre.org
50 EN SEL Saint Lo,49.11546,-1.08281,50000 Saint Lo,https://enselsaintlo.jimdo.com/
59 SEL SUR LA LYS,50.69165,2.88421,59280 ARMENTIERES,
30 SEL'ECHANGE,43.79497,4.09786,30250 VILLEVIEILLE,http://selechange.seliweb.net/public/fr/
44 Fleur de Sel,47.27349,-2.21384,44600 St Nazaire,http://selsaintnazaire.fr/phpboost/
50 EN SEL Saint Lo,49.11546,-1.08281,50000 Saint Lo,https://enselsaintlo.jimdo.com/
81 Troc Sel,43.60621,2.24129,81100 Castres,
76 SEL'AVIE - Pays Dieppois,49.95763,1.22241,76370 PETIT-CAUX,http://selavie76.communityforge.net
78 etinsel78,48.99966,1.88065,78250 MEZY sur SEINE,http://etinsel78.communityforge.net/
74 SEL D'ANNECY ET DE SA REGION,45.90773,6.10667,74960 CRAN-GEVRIER,http://annecy-sel74.communityforge.net/
46 SEL du Frau,44.55739,1.33693,46150 CATUS,
30 SEL du Piémont,43.99002,4.10736,30350 LEDIGNAN,www.alascledignan.org
44 SEL PHIL,47.03687,-1.6429,44310 Saint-Philbert-de-Grand-Lieu,https://selphil44310.blogspot.com
38 ESPRITDSEL,45.49991,5.4236,38730 DOISSIN,http://espritdsel.communityforge.net/
77 SEL des Ecluses,48.38868,2.80799,77670 Saint Mammès,http://seldesecluses.communityforge.net
76 SEL DE MALAUNAY,49.52633,1.04706,76770 MALAUNAY,http://seldemalaunay.communityforge.net/
14 Esprit de Sel,49.19786,-0.34684,14000 CAEN 15 rue Champlain,http://esprit-de-sel.fr/
32 SEL usate,43.86258,0.10052,32800 EAUZE,https://selusate.communityforge.net/
42 SEL des bords de Loire,45.52643,4.26209,42160 Andrezieux-Boutheon,
28 SEL du drouais,48.72063,1.35585,28500 Vernouillet,http://grain2sel.net
40 SEL des grands lacs,44.39466,-1.16421,40600 Biscarrosse,https://seldesgrandslacs.communityforge.net/
32 LES ÉCOLONOMES LE SEL DE L'ASTARAC,43.51682,0.40363,32300 MIRANDE,
11 Carrou'SEL Conques 11,43.26971,2.40146,11600 Conques sur orbiel,
04 SEL DES 3 RIVIERES,44.19471,5.94319,04200 SISTERON,http://seldes3rivieres.communityforge.net/
71 SEL'essentiel,46.67796,4.27196,71410 SANVIGNES LES MINES,https://selessentiel.communityforge.net/
71 SEL du Maconnais,46.30688,4.82873,71000 MACON ,https://seldumaconnais.communityforge.net/
92 Sel de Châtillon,48.80454,2.28692,92320 CHATILLON,
13 MARSEL,43.31747,5.35993,13002 MARSEILLE,https://marsel.communityforge.net/
77 SEL de Nemours,48.26704,2.69261,77140 Nemours,
77 SEL de Thomery,48.4027,2.78266,77810 THOMERY,http://seldethomery.communityforge.net/
85 Sel de la Vallée de la Vie,46.67051,-1.42644,85000 LA ROCHE SUR YON,
