"url", "latitude", "longitude", "WKT", "title", "description", "logo", "active_members", "3month_transactions"
"nouka.fr","-61.4698792","16.2621408","","nouka.fr","S&Atilde;&copy; on men ka lav&Atilde;&copy; l&Atilde;&acute;t","http://nouka.fr/sites/nouka.fr/files/sky_seldulac_logo.jpg","5","0"
"ourthsel.be","5.4727793","50.2171175","","ourthsel.be","Le SEL, c'est choisir le lien au lieu des biens","http://ourthsel.be/sites/ourthsel.be/files/sky_seldulac_logo.jpg","40","0"
"ourtimebank.communityforge.net","-118.2568359","34.0640367","","Our Time Bank","Building Community in Our Corner of Los Angeles","http://ourtimebank.communityforge.net/system/files/Logo-All-People-OTB-Orange med web-.jpg","79","0"
"outre-foret.communityforge.net","7.9080963","49.0227298","","outre-foret.communityforge.net","POUR CHANGER, ECHANGEONS !","http://outre-foret.communityforge.net/system/files/dessin logo SEL 2.jpg","35","0"
"pepitesdenosjardins.communityforge.net","4.835110","45.604232","","P&Atilde;&copy;pites de nos jardins","Rien ne se perd, tout se r&Atilde;&copy;cup&Atilde;&uml;re...","http://pepitesdenosjardins.communityforge.net/system/files/logo.jpg","3","0"
"phisel.be","4.5430358","50.1958462","","phisel.be","Un monde sans SEL est sans saveur ! ","http://phisel.be/sites/phisel.be/files/sky_seldulac_logo.jpg","48","0"
"poly.communityforge.net","149.569","17.535021","","Poly SEL","&Atilde;‰changer et partager en Polyn&Atilde;&copy;sie","http://poly.communityforge.net/sites/poly.communityforge.net/files/unnamed.png","115","0"
"potdseldubelmont.communityforge.net","7.0152855","46.8662944","","Le Pot d'Sel du Belmont","Un peu de sel dans la vie !","http://potdseldubelmont.communityforge.net/system/files/SEL.jpg","41","0"
"potesensel.communityforge.net","2.303009","49.8964037","","POTES EN SEL","Syst&Atilde;&uml;me d'Echange Local Ami&Atilde;&copy;nois","http://potesensel.communityforge.net/system/files/fondha-bleu02.jpg","40","0"
"ppjpc.communityforge.net","-104.8219299","38.8354288","","People's Exchange Pikes Peak","Tools for a new economy","http://ppjpc.communityforge.net/system/files/PXPP banner.jpg","6","0"
"radiselvalmont.communityforge.net","0.5174732","49.7410113","","Radis'SEL de la r&Atilde;&copy;gion de Valmont 76","Profitons de nos savoir-faire !","http://radiselvalmont.communityforge.net/system/files/logo_r_0.jpg","62","0"
"ratintout.org","3.0514526","50.6609965","","Ratintout.org","Ratintout - le SEL andr&Atilde;&copy;sien","http://ratintout.org/system/files/ratintout_logo.png","32","0"
"realmexchange.co.uk","-2.7960205078125","54.04326379429977","","The Realm Exchange","The Flexible Online Trading System for Lancaster and Morecambe backed by Gold ","http://realmexchange.co.uk/sites/realmexchange.co.uk/files/sky_seldulac_logo.jpg","3","0"
"rencontre-nationale-belge-2017.communityforge.net","4.534541","50.579194","","Imagine demain...Rencontre le 08/07/2017","F&Atilde;&ordf;tons ensemble les 20 ans du SEL Coup d' Pouce le soir du vendredi 7 juillet !","http://rencontre-nationale-belge-2017.communityforge.net/system/files/logo_isa1.jpg","5","0"
"reseau-antonin.fr","5.1869202","45.1781648","","R&Atilde;&copy;seau Antonin ","Coop&Atilde;&copy;rer, partager des biens ou des services, &Atilde;&nbsp; St-Antoine-l'abbaye et alentours","http://reseau-antonin.fr/system/files/sa village vu de salle fete.jpg","53","0"
"sel2mers.communityforge.net","-4.484288","48.397804","","SEL2mers","Un r&Atilde;&copy;seau d'&Atilde;&copy;change de services,de biens et de savoir-faire SANS ARGENT &Atilde;&nbsp; Brest!","http://sel2mers.communityforge.net/system/files/16472929_1478907942150071_6019757738452807669_n.jpg","6","0"
"sel99.fr","3.874054","48.0229983","","SEL99","C'est CHOUETTE le S.E.L....!","http://sel99.fr/system/files/logo copie.png","32","0"
"seladonsvlg.communityforge.net","2.3254967","48.9378934","","SELadons Villeneuve la Garenne","Echanges de services, de biens et de savoirs","http://seladonsvlg.communityforge.net/system/files/logo.png","21","0"
"selalternative.communityforge.net","1.501719","48.800542","","Sel'Alternative","L'espace des alternatives et de l'entraide","http://selalternative.communityforge.net/system/files/Logo-Alternative.jpg","65","0"
"sel-amay.communityforge.net","5.312233","50.5472537","","SEL d'Amay","La convivialit&Atilde;&copy; &Atilde;&nbsp; port&Atilde;&copy;e de main","http://sel-amay.communityforge.net/system/files/Amayentransition.jpg","56","0"
"selanester.org","-3.3487701","47.7634454","","Esperans Lann Ester","Une association de solidarit&Atilde;&copy;","http://selanester.org/system/files/Logo Esperans_1.jpg","17","0"
"selangevin.fr","-0.5311384722426737","47.47192496532473","","Le SEL Angevin","Pour changer &Atilde;&copy;changeons","http://selangevin.fr/system/files/SelAngevin.png","93","0"
"selarden.communityforge.net","4.7505569","49.7383488","","selarden.communityforge.net","Privil&Atilde;&copy;gier le lien plut&Atilde;&acute;t que le bien","","54","0"
"selardenne.be","5.808612","50.406843","","Sel'Ardenne","Pour changer..., Echangeons !","http://selardenne.be/system/files/Sel-ardennejpg.jpg","49","0"
"selassosrodez.communityforge.net","2.577010","44.348529","","selassosrodez.communityforge.net","Echangeons entre associations","","2","0"
"selaulnay.communityforge.net","2.4999046","48.9414453","","&Atilde;‰changeons Mieux Ensemble","Le SEL d'Aulnay-sous-Bois","http://selaulnay.communityforge.net/system/files/logo2_petit.png","49","0"
"selavenir.communityforge.net","2.6010132","48.563658",""," SEL'Avenir","Syst&Atilde;&uml;me d'Echange Local de Cesson, S&Atilde;&copy;nart et les villes avoisinantes 77","http://selavenir.communityforge.net/system/files/logo sel'avenir.png","43","0"
"selavie.communityforge.net","1.904068","47.9006929","","Sel &Atilde;&nbsp; vie","Syst&Atilde;&uml;me d&acirc;€™&Atilde;&copy;changes local d&acirc;€™Orl&Atilde;&copy;ans Madeleine","http://selavie.communityforge.net/system/files/sel.jpg","36","0"
"selaviegaume.be","5.500031","49.6556272","","SELavie Gaume","Syst&Atilde;&uml;me d&acirc;€™Echange Local en Gaume","http://selaviegaume.be/sites/selaviegaume.be/files/sky_seldulac_logo.jpg","29","0"
"sel-aywaille.org","5.675840","50.473180","","Le Sel-Aywaille","Plateforme d'Echange: Pour celles et ceux chez qui l'entraide est une volont&Atilde;&copy; ind&Atilde;&copy;niable... ","http://sel-aywaille.org/system/files/Logo-Final.jpg","12","0"
"sel-bassemeuse.communityforge.net","5.7249069","50.7123303","","Sel Basse Meuse","Le bonheur est dans l'&Atilde;&copy;change !","http://sel-bassemeuse.communityforge.net/system/files/1798154_314948445321434_1724267097860601323_n.jpg","9","0"
"selcalade.communityforge.net","4.7419739","45.9893289","","selcalade","Des &Atilde;&copy;changes pour se rencontrer, des rencontres pour &Atilde;&copy;changer","http://selcalade.communityforge.net/system/files/Raisins dessin.jpg","75","0"
"selchaponost.fr","4.7455788","45.7108543","","SEL 'AVIE","","http://selchaponost.fr/system/files/avatar _1.png","47","0"
"sel-chevigny.be","5.3448617","49.9123264","","sel-chevigny.be","On a tous quelque chose &Atilde;&nbsp; partager","http://sel-chevigny.be/system/files/Logo-Chevigny.jpg","7","0"
"selclairdelune.communityforge.net","-1.4591217","43.5403359","","selclairdelune.communityforge.net","Mettez du S.E.L dans votre vie ","http://selclairdelune.communityforge.net/system/files/like-the-wind_by_webby85.jpg","72","0"
"selclunisois.communityforge.net","4.659274","46.434135","","Selclunisois","Le SEL ne s'use que si l'on ne s'en sert pas ......","http://selclunisois.communityforge.net/sites/selclunisois.communityforge.net/files/sky_seldulac_logo.JPG","149","0"
"selcollemiers.communityforge.net","3.2349586","48.1578412","","Le SEL de Collemiers","Pour changer, &Atilde;&copy;changeons","http://selcollemiers.communityforge.net/system/files/logo.png","26","0"
"selconaissances.communityforge.net","4.835659","45.764043","","Sel Co-Naissances","Faire &Atilde;&copy;merger les talents, les projets, et faciliter leur concr&Atilde;&copy;tisation","http://selconaissances.communityforge.net/system/files/Co-naissances.jpg","2","0"
"selcoupdepouce.be","4.6039581","50.5980579","","SEL coup de pouce","Syst&Atilde;&uml;me d'Echange Local - &Atilde;&copy;changer, c'est changer !","http://selcoupdepouce.be/sites/selcoupdepouce.be/files/logo.jpg","298","0"
"seldebeaurepaire.fr","5.0386047","45.3289787","","seldebeaurepaire.fr","Certains, individuellement, iront plus vite, mais Ensemble nous irons plus loin...!","http://seldebeaurepaire.fr/system/files/ampoule.jpg","60","0"
"seldebergues.communityforge.net","2.4334288","50.9685355","","Le p&Atilde;&cent;te &Atilde;&nbsp; sel","Echanger... et changer !","","34","0"
"seldebourges.communityforge.net","2.398782","47.081012","","Syst&Atilde;&uml;me d'Echange Local de Bourges","Site de &quot;Pas seul en Sel&quot;","http://seldebourges.communityforge.net/system/files/Logo_Sel_Original.png","8","0"
"seldebourgoinjallieu.fr","5.27212","45.597108","","SEL de Bourgoin Jallieu","Mettez un peu de SEL dans votre vie ...","http://seldebourgoinjallieu.fr/sites/seldebourgoinjallieu.fr/files/sky_seldulac_logo.jpg","97","0"
"seldebriancon.communityforge.net","6.6441536","44.9008757","","SEL Brian&Atilde;&sect;onnais","Syst&Atilde;&uml;me d'Echange Local de Brian&Atilde;&sect;on - Agir Ensemble Ici et Maintenant","http://seldebriancon.communityforge.net/system/files/SELB_Logo_0.jpg","37","0"
"seldecarbonne.fr","1.2249756","43.2922008","","SEL de Carbonne","","http://seldecarbonne.fr/system/files/LogoSEL_complet_0.jpg","69","0"
"sel-de-caux.fr","0.380774","49.755601","","Sel De Caux","Pour changer, &Atilde;&copy;changeons","http://sel-de-caux.fr/sites/sel-de-caux.fr/files/LOGO-SEL-PUZZLE-04A.png","34","0"
"seldecergypontoise.fr","2.083165","49.029829","","SEL Cergy-Pontoise","","http://seldecergypontoise.fr/sites/seldecergypontoise.fr/files/logo_sel_de_cergy_couleur_0.jpg","252","0"
"seldechateau-thierry.fr","3.4038734","49.0465323","","Le Ch&Atilde;&cent;teau de SEL","Pour changer, &Atilde;&copy;changeons!","http://seldechateau-thierry.fr/system/files/lgo Chateau de Sel BD2.jpg","84","0"
